"propertyid","address","city","state","zipcode","price","bedrooms","bathrooms","squarefeet","datelisted","geometry"
38167625,"10631 N KENDALL DR STE 280","Miami","FL","33176",25000,0,,,,"POINT(-80.364233 25.688153)"
38188500,"1101 SW 93RD AVE","Miami","FL","33174",2002,0,,,,"POINT(-80.34595 25.758956)"
38378571,"3242 NW 4TH ST","Miami","FL","33125",3200,0,,,,"POINT(-80.248552 25.776232)"
38561002,"133 NE 2ND AVE APT 2907","Miami","FL","33132",225000,1,1,651,,"POINT(-80.190078 25.775908)"
38561000,"1050 NW 193RD ST","Miami","FL","33169",,3,2,2630,,"POINT(-80.218569 25.950815)"
38561006,"1050 NW 1ST ST","Miami","FL","33128",1680000,42,21,17601,,"POINT(-80.212651 25.774278)"
38561003,"1021 NW NORTH RIVER DR","Miami","FL","33136",205000,2,1,1293,,"POINT(-80.211649 25.782415)"
38522679,"3536 FROW AVE","Miami","FL","33133",,5,3,3976,,"POINT(-80.250662 25.72895)"
38522694,"2575 S BAYSHORE DR APT 4A","Miami","FL","33133",,2,2,1805,,"POINT(-80.233506 25.73288)"
38522696,"1865 BRICKELL AVE APT A2114","Miami","FL","33129",564800,2,2,1723,,"POINT(-80.196305 25.754149)"
38522699,"2545 S BAYSHORE DR APT 312","Miami","FL","33133",,2,1,671,,"POINT(-80.233492 25.733368)"
38522701,"1865 BRICKELL AVE APT A2108","Miami","FL","33129",215000,2,2,1661,,"POINT(-80.196305 25.754149)"
38522700,"1865 BRICKELL AVE APT A2113","Miami","FL","33129",185000,2,2,1467,,"POINT(-80.196305 25.754149)"
38522708,"200 BISCAYNE BOULEVARD WAY APT 4408","Miami","FL","33131",780000,2,2.5,1500,,"POINT(-80.189544 25.770527)"
38522718,"3629 FROW AVE","Miami","FL","33133",,2,1,1016,,"POINT(-80.252135 25.729283)"
38522723,"3585 FLORIDA AVE","Miami","FL","33133",,3,1,1132,,"POINT(-80.251171 25.728669)"
38522730,"1101 SUNSET RD","Miami","FL","33143",3250000,5,4,5028,,"POINT(-80.273478 25.705226)"
38522738,"690 SW 1ST CT APT 1230","Miami","FL","33130",130000,,1,638,,"POINT(-80.196227 25.7679)"
38522750,"1865 BRICKELL AVE","Miami","FL","33129",0,3,3,3842,,"POINT(-80.196305 25.754149)"
38522757,"1865 BRICKELL AVE APT A2106","Miami","FL","33129",189900,1,1.5,1064,,"POINT(-80.196305 25.754149)"
38522769,"1865 BRICKELL AVE APT A2111","Miami","FL","33129",180000,2,2,1362,,"POINT(-80.196305 25.754149)"
38522771,"3510 FROW AVE","Miami","FL","33133",,2,1,4076,,"POINT(-80.250217 25.728979)"
38522778,"730 NW 18TH AVE","Miami","FL","33125",485000,2,1,1860,,"POINT(-80.224704 25.780492)"
38522791,"335 S BISCAYNE BLVD APT 1104","Miami","FL","33131",470000,1,1,846,,"POINT(-80.185408 25.771612)"
38522803,"690 SW 1ST CT APT 2528","Miami","FL","33130",270000,,1,638,,"POINT(-80.196227 25.7679)"
38522802,"1050 BRICKELL AVE APT 1608","Miami","FL","33131",305000,1,1,731,,"POINT(-80.192195 25.763279)"
38522814,"690 SW 1ST CT APT 1430","Miami","FL","33130",270000,,1,638,,"POINT(-80.196227 25.7679)"
38522823,"1865 BRICKELL AVE APT A2011","Miami","FL","33129",400000,2,2,1362,,"POINT(-80.196305 25.754149)"
38522822,"1865 BRICKELL AVE APT A2104","Miami","FL","33129",85000,1,1.5,868,,"POINT(-80.196305 25.754149)"
38522834,"1050 BRICKELL AVE APT 1408","Miami","FL","33131",138000,1,1,731,,"POINT(-80.192195 25.763279)"
38522836,"690 SW 1ST CT APT 1530","Miami","FL","33130",240000,,1,638,,"POINT(-80.196227 25.7679)"
38522852,"2470 SW 153RD PASS","Miami","FL","33185",375000,4,3,2110,,"POINT(-80.4441 25.743602)"
38522864,"3648 OAK AVE","Miami","FL","33133",605000,3,3,2427,,"POINT(-80.252588 25.729574)"
38522858,"15374 SW 25TH TER","Miami","FL","33185",311000,3,2.5,1959,,"POINT(-80.443644 25.743023)"
38522887,"1050 BRICKELL AVE APT 2408","Miami","FL","33131",267500,1,1,731,,"POINT(-80.192195 25.763279)"
38522886,"3900 BISCAYNE BLVD # S-1106","Miami","FL","33137",551300,1,1,699,,"POINT(-80.189633 25.813714)"
38522891,"12327 SW 148TH TER","Miami","FL","33186",115000,3,2,1464,,"POINT(-80.393199 25.630241)"
38522900,"15368 SW 25TH TER","Miami","FL","33185",470000,4,3,2110,,"POINT(-80.443534 25.743027)"
38522896,"8131 SW 92ND AVE","Miami","FL","33173",184000,3,2,2474,,"POINT(-80.341596 25.693244)"
38522909,"3101 N COUNTRY CLUB DR APT 306","Miami","FL","33180",178000,1,1,717,,"POINT(-80.137581 25.967032)"
